DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/01/2018,0:00,BRONX,10454,40.80321,-73.91892,"(40.80321, -73.91892)",BRUCKNER BOULEVARD              ,SAINT ANNS PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3819077,PICK-UP TRUCK,PASSENGER VEHICLE,,,
01/01/2018,0:00,BROOKLYN,11230,40.62418,-73.97048,"(40.62418, -73.97048)",OCEAN PARKWAY                   ,AVENUE J,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3822296,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/01/2018,0:00,BROOKLYN,11230,40.62322,-73.96102,"(40.62322, -73.96102)",,,1095      EAST 15 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3821055,TAXI,,,,
01/01/2018,0:00,BROOKLYN,11239,40.65306,-73.88202,"(40.65306, -73.88202)",,,225       VANDALIA AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3820851,PASSENGER VEHICLE,,,,
01/01/2018,0:00,QUEENS,11419,40.68297,-73.82824,"(40.68297, -73.82824)",107 AVENUE                      ,113 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3819067,PASSENGER VEHICLE,,,,
01/01/2018,0:00,STATEN ISLAND,10312,40.561512,-74.171844,"(40.561512, -74.171844)",DRUMGOOLE ROAD WEST             ,ARTHUR KILL ROAD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3822213,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2018,0:00,,,40.655743,-73.99927,"(40.655743, -73.99927)",31 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3819251,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/01/2018,0:00,,,40.828064,-73.91609,"(40.828064, -73.91609)",COLLEGE AVENUE                  ,,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3821227,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/01/2018,0:00,,,40.81821,-73.96144,"(40.81821, -73.96144)",HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3820154,PASSENGER VEHICLE,,,,
01/01/2018,0:00,BROOKLYN,11234,40.62877,-73.91825,"(40.62877, -73.91825)",RALPH AVENUE                    ,AVENUE J,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Passing or Lane Usage Improper,,,,3820945,PASSENGER VEHICLE,BICYCLE,,,
